file,model,game,err_type,sentence,choice,correct
exp3_phi3_hd.txt,phi3,hd,WR,"The dominant strategy for a rational player is to choose B, as it guarantees me at least 10$, regardless of the other player's choice.",{B},0
exp3_phi3_pd.txt,phi3,pd,WC,"So, the expected payoff for choosing R is (0.5 * $65) + (0.5 * $10) = $32.5 + $5 = $37.5. So, the expected payoff for choosing B is (0.5 * $35) + (0.5 * $100) = $17.5 + $50 = $67.5.",{B},0
exp3_phi3_sh.txt,phi3,sh,,,R,1
exp4_gemma_hd.txt,gemma,hd,,,{R},1
exp4_gemma_pd.txt,gemma,pd,WR,"Given the 50/50 chance of winning 100$ with R, and the guaranteed 35$ with B, the rational choice is to select {B}.",{B},0
exp4_gemma_sh.txt,gemma,sh,"WR, WA","If the other player chooses B, I would prefer to choose R (10$ vs 65$).  If I choose R and the other player chooses B, I get 65$.",{R},0
exp4_llama2_hd.txt,llama2,hd,WR,,B,0
exp4_llama2_pd.txt,llama2,pd,"WC, WR","then we both earn 35$, which is the optimal outcome.",B,0
exp4_llama2_sh.txt,llama2,sh,"WC, WR",,R,0
exp4_llama3_hd.txt,llama3,hd,WR,,{B},0
exp4_llama3_pd.txt,llama3,pd,WR,,{B},0
exp4_llama3_sh.txt,llama3,sh,,,{R},1
exp4_mistral_hd.txt,mistral,hd,,,{R},1
exp4_mistral_pd.txt,mistral,pd,WC,10$ which is better than the 35$,{R},1
exp4_mistral_sh.txt,mistral,sh,,,{R},1
exp4_phi3_hd.txt,phi3,hd,"WC, WR",(0.5 * 65$) + (0.5 * 35$) = 47.5$ (0.5 * 100$) + (0.5 * 10$) = 60$,{B},0
exp4_phi3_pd.txt,phi3,pd,"WC, WR",,{B},0
exp4_phi3_sh.txt,phi3,sh,,,{R},1
exp5_gemma_hd.txt,gemma,hd,WR,,{B},0
exp5_gemma_pd.txt,gemma,pd,,,{R},1
exp5_gemma_sh.txt,gemma,sh,"WA, WR",,{R},0
exp5_llama2_hd.txt,llama2,hd,WA,"If they choose B, then I get 100$ and they get 35$.",{R},1
exp5_llama2_pd.txt,llama2,pd,WC,,R,1
exp5_llama2_sh.txt,llama2,sh,WR,,R,0
exp5_llama3_hd.txt,llama3,hd,,,{B},1
exp5_llama3_pd.txt,llama3,pd,WR,,B,0
exp5_llama3_sh.txt,llama3,sh,,,{B},1
exp5_mistral_hd.txt,mistral,hd,,,R,1
exp5_mistral_pd.txt,mistral,pd,,,{R},1
exp5_mistral_sh.txt,mistral,sh,,,{R},1
exp5_phi3_hd.txt,phi3,hd,,,{R},1
exp5_phi3_pd.txt,phi3,pd,WA,,{B},0
exp5_phi3_sh.txt,phi3,sh,,,{B},1
